Scheme
15 13
14 9 0
14 8 0
14 7 3
13 7 0
13 8 0
14 8 0
14 7 0
13 7 9
13 6 0
13 7 0
13 6 0
14 6 0
14 5 0
13 5 0
12 5 0
11 5 0
12 5 0
12 6 3
12 7 0
12 6 0
12 7 0
12 6 0
12 7 0
12 8 0
12 7 5
12 8 0
12 9 0
11 9 0
11 8 0
12 8 0
11 8 0
10 8 0
10 7 0
10 8 0
10 7 0
9 7 0
8 7 0
8 8 5
8 9 0
7 9 0
8 9 0
8 10 0
8 9 0
7 9 8
6 9 0
7 9 0
7 10 0
7 11 0
7 10 0
8 10 0
9 10 0
9 11 0
9 10 0
9 9 0
9 10 0
9 11 0
9 12 0
8 12 2
8 11 0
8 12 0
9 12 0
9 11 0
9 12 3
9 11 0
9 10 0
9 9 7
9 10 5
9 9 9
9 10 0
10 10 0
11 10 0
10 10 0
10 11 0
10 10 0
11 10 0
11 11 0
11 10 0
10 10 0
11 10 0
10 10 6
10 11 0
9 11 0
8 11 0
7 11 0
6 11 0
6 12 0
6 11 0
6 10 0
7 10 0
8 10 0
9 10 0
10 10 7
11 10 0
11 11 0
10 11 0
9 11 0
9 10 0
9 9 3
10 9 0
10 10 0
10 11 0
11 11 7
12 11 8
11 11 0
11 12 0
12 12 0
11 12 0
10 12 0
9 12 0
10 12 0
10 11 0
10 10 0
9 10 0
9 9 9
8 9 0
8 8 0
8 9 0
7 9 0
7 10 0
7 9 0
6 9 0
7 9 8
7 8 9
6 8 0
5 8 0
5 9 0
5 10 0
5 9 0
5 10 0
5 11 0
5 10 0
4 10 0
4 9 6
4 10 0
3 10 0
3 9 9
4 9 0
5 9 0
4 9 0
3 9 0
2 9 0
2 10 0
3 10 0
4 10 6
3 10 0
2 10 0
3 10 3
3 9 0
2 9 5
3 9 0
2 9 0
1 9 0
2 9 0
2 10 4
3 10 0
3 9 8
3 8 0
2 8 0
2 9 8
1 9 0
0 9 0
0 10 0
0 11 0
0 10 5
0 11 3
0 10 0
0 9 0
1 9 0
0 9 0
0 8 0
0 9 0
1 9 3
1 8 4
1 9 0
1 8 0
2 8 0
3 8 3
3 9 0
2 9 6
3 9 7
3 10 0
3 11 0
3 10 0
3 9 0
3 10 7
3 9 0
3 10 0
3 9 1
3 10 9
3 11 5
3 10 0
4 10 0
4 11 0
4 10 0
4 9 0
3 9 2
4 9 0
5 9 8
4 9 0
5 9 2
5 10 0
5 9 0
6 9 0
5 9 3
5 8 0
5 7 0
4 7 0
3 7 0
3 8 0
3 7 0
2 7 0
1 7 0
2 7 0
1 7 0
1 8 0
1 7 0
1 8 0
1 9 0
1 8 0
1 9 0
2 9 0
3 9 0
3 8 0
3 9 0
3 10 0
4 10 0
4 9 0
4 8 0
3 8 0
3 9 0
3 10 0
3 11 0
3 12 0
